,fulfilment,shipment_service_level,category,size,amount,shipping_state,rejected,region
0,1,1,4,7,647.62,20,1,5
1,1,1,7,0,406.0,15,0,4
3,1,1,6,5,753.33,26,1,4
7,1,1,7,7,399.0,31,0,4
8,0,0,4,0,0.0,31,1,4
12,1,1,7,9,399.0,20,0,5
14,1,1,4,5,771.0,20,0,5
15,1,1,7,3,544.0,1,0,4
18,1,1,7,10,458.0,11,0,3
23,1,1,4,6,570.48,20,1,5
25,1,1,4,9,582.0,14,0,1
26,1,1,7,0,299.0,6,0,1
29,1,1,7,0,0.0,3,1,2
33,1,1,7,6,517.0,25,0,1
35,1,1,7,8,499.0,33,0,3
42,1,1,7,6,424.0,20,0,5
49,1,1,7,6,399.0,33,0,3
60,1,1,4,8,599.0,15,0,4
65,0,0,7,10,0.0,10,1,5
70,1,1,7,8,696.0,30,0,4
72,1,1,4,7,631.0,15,0,4
74,1,1,7,8,362.0,25,0,1
83,1,1,4,6,1105.36,34,1,3
84,0,0,7,6,0.0,31,1,4
85,1,1,1,0,377.0,35,0,1
88,1,1,6,10,859.0,28,0,5
92,1,1,7,0,725.0,30,0,4
95,0,0,7,5,0.0,20,1,5
101,0,0,4,7,0.0,8,1,0
103,1,1,6,7,472.0,19,0,0
105,1,1,4,8,832.0,11,0,3
106,1,1,7,8,399.0,11,0,3
109,1,1,5,6,518.0,20,0,5
116,0,0,6,10,791.0,10,1,5
117,0,0,6,8,807.0,10,1,5
118,0,0,6,10,807.0,10,1,5
122,1,1,4,7,597.0,3,0,2
123,1,1,4,7,549.0,3,0,2
129,1,1,7,0,579.0,15,0,4
132,0,0,4,0,0.0,15,1,4
138,1,1,4,6,788.0,6,0,1
139,0,0,5,0,0.0,33,1,3
147,1,1,4,7,999.0,33,0,3
150,1,1,7,0,376.0,30,0,4
155,0,0,7,8,0.0,25,1,1
159,1,1,7,8,353.0,16,0,4
160,1,1,7,7,399.0,33,0,3
164,1,1,7,7,399.0,11,0,3
165,0,0,7,3,0.0,30,1,4
172,1,1,7,6,399.0,15,0,4
177,1,1,5,5,387.0,20,0,5
178,1,1,5,5,463.81,15,1,4
181,0,0,4,6,626.0,15,1,4
186,1,1,4,8,583.0,35,0,1
193,0,0,4,6,597.0,20,1,5
